"","ID2003_d","X","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","mdvp.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2003","pop.2003_pds","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","year","dstrds","HKD","KSNP_AreaForLoss_Ha2","nonKSNP_AreaForLoss_Ha","All_AreaForLoss_Ha","KSNP_AreaForLoss_Ha2_trunc","All_AreaForLoss_Ha_trunc","nonKSNP_AreaForLoss_Ha_trunc","pop.2003_pds_imp","mdvp.2003_imp","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_pds_z","All_AreaForLoss_Ha_trunc_z","ps03.1","distance","weights","subclass"
"X34",1311010001,34,314173877,413.4061,0.3623616,5289.083,3377.71329138324,0.4444444,0.1135569,0.005881089,4930.70117963436,3729,47.773154024427,858.69,2184.39,1,0,481.100348610294,2003,4930.70117963436,2.5e+08,2.7,246.33,249.03,28.89,616.68,587.79,3729,0.4444444,1.56824895884929,-1.11714473727783,-1.66929277952273,-0.036615325672304,-1.30084925260515,-1.36525047763982,-0.149206761194219,1.04080886380652,2.03910086903321,0.113082385793186,1.33344102479359,0.255324670186104,0.265755847653347,1,31
"X35",1501010001,35,54966084,984.8491,0.9070144,2585.067,6545.16472716687,0.3333333,0.8840587,0.9081115,3327.58532384379,785,54.4554551442464,423.36,131.76,0,0,0,2003,3327.58532384379,0,0,0.81,0.81,0,8.19,8.19,785,0.3333333,-0.307933559847272,0.0914939489382027,0.870633869278234,-0.785027466761145,1.33056200577988,1.53658150956464,-0.492875312063142,-0.403564877616501,-0.212619414964987,-0.428962590451858,-0.303656190368441,0.425068231191313,0.392379112571003,0.895454545454546,34
"X36",1501010002,36,73344691,1353.599,0.7880201,2931.407,3714.1045587519,0.1666667,0.8117983,0.9296222,3078.16279226598,817,53.5316382733513,395.1,872.19,0,0,0,2003,3078.16279226598,0,0,0.72,0.72,0.18,20.97,20.79,817,0.1666667,-0.174906613503131,0.871423696399094,0.315717427784834,-0.689168174159064,1.08377889625904,1.60576609541558,-0.515184992644669,0.117453352343039,-0.212619414964987,-0.423070797231803,-0.269272548221864,0.308811854050417,0.311487055508258,0.716363636363636,32
"X37",1501010003,37,21822556,1373.764,0.7529179,2058.161,1082.59684541836,0.1666667,0.4749454,0.7206252,1875.24272101594,2000,53.010425932511,232.02,665.73,0,0,0,2003,1875.24272101594,0,0,0,0,0.54,1.44,0.9,2000,0.1666667,-0.547831084230461,0.914073967917944,0.152022293542356,-0.93086345575402,-0.0666382909294231,0.93357175078295,-0.643927480586469,-0.0278263145497758,-0.212619414964987,-0.205258566627901,-0.321816564741633,0.202557046273389,0.248236579997691,0.447727272727273,9
"X38",1501010004,38,25130718,1392.585,0.7738296,3408.905,2429.80891571684,0.3888889,0.3721747,0.4831465,3225.32448419691,296,55.161833190918,493.56,321.75,0,0,0,2003,3225.32448419691,0,0,0.18,0.18,0.09,3.96,3.87,296,0.3888889,-0.523886141674601,0.953881593023636,0.249541638162876,-0.557007232601899,-0.41761992006009,0.169772083272372,-0.437456360300116,-0.269874652328475,-0.212619414964987,-0.51899655559582,-0.315036691642308,0.155856305643793,0.187962639330818,0.895454545454546,24
"X39",1501010005,39,60826821,1412.175,0.8026425,5926.967,5014.5005596948,0.1666667,0.6677665,0.6974463,5755.87954244277,655,51.8611713892977,1008,465.12,0,0,0,2003,5755.87954244277,0,0,1.98,1.98,0.45,17.28,16.83,655,0.1666667,-0.265512719876314,0.995315702572571,0.383907334142475,0.139936932230872,0.59188270589912,0.85902175487485,-0.0313349137905502,-0.16898951311302,-0.212619414964987,-0.45289800040833,-0.279200219545876,0.243696111404133,0.251869862975743,1.79090909090909,45
"X40",1501010006,40,73349124,793.8612,0.688396,8837.407,1950.62903851563,0.05555556,0.3948596,0.3952892,7546.13613222168,1131,51.1168367964498,1900.8,335.43,0,0,0,2003,7546.13613222168,0,0,4.77,4.77,1.44,48.69,47.25,1131,0.05555556,-0.174874526824682,-0.3124577392252,-0.148868279757315,0.945482695240635,-0.340146640626688,-0.112802212983995,0.673480472734098,-0.260248449465481,-0.212619414964987,-0.365257576260015,-0.194693944129288,0.220460793483247,0.246653636612322,0.447727272727273,9
"X41",1501010007,41,72033611,1058.642,0.773277,10007.11,6044.87473490466,0.3333333,0.5063346,0.5117197,9264.19088779462,1403,50.583327293396,2009.25,1001.61,0,0,0,2003,9264.19088779462,0,0,1.35,1.35,10.17,59.67,49.5,1403,0.3333333,-0.184396395226679,0.247570676989944,0.246964650646926,1.26923075245185,0.0405618405585234,0.261671696415417,0.759095648214159,0.208522297849519,-0.212619414964987,-0.315177333889549,-0.165153068482229,0.213943360770418,0.235872966612998,1.79090909090909,33
"X42",1501010011,42,49308062,1042.286,0.9006952,1880.29,6774.67452001349,0.1111111,0.7541103,0.8215361,2797.98709750253,512,54.4782605535334,416.07,365.49,0,0,0,2003,2797.98709750253,0,0,1.26,1.26,0,3.33,3.33,512,0.1111111,-0.34888712009305,0.212976685372671,0.841164995751644,-0.980094235434174,0.886763324493062,1.25813017167793,-0.498630357053918,-0.239096135279692,-0.212619414964987,-0.47922695136045,-0.31673165991714,0.381768304703205,0.372420254188493,1.19393939393939,2
"X43",1501010015,43,48973912,1224.567,0.8729371,4022.106,6332.06027167713,0.3333333,0.7387253,0.7801852,4455.22242593946,1369,54.6089368138995,690.3,304.29,1,0,0,2003,4455.22242593946,124999522,0.09,0.81,0.9,0.36,7.2,6.84,1369,0.3333333,-0.351305744862647,0.598512720221545,0.711718240111937,-0.387286686078572,0.834220602061715,1.12513380749343,-0.282141195487325,-0.282160727035191,-0.212619414964987,-0.321437364185857,-0.306319711943176,0.316930903929066,0.312703836458135,1,32
"X44",1501010016,44,42903793,1054.024,0.7190017,5764.995,6714.32367411348,0.3333333,0.7139262,0.7874161,5942.99412639628,540,54.9560819661842,694.89,315.9,0,0,0,2003,5942.99412639628,0,0,0.54,0.54,0.36,8.91,8.55,540,0.3333333,-0.395242121243923,0.237803310073304,-0.0061420640191278,0.0951066459764853,0.749526924593581,1.14839045752478,-0.278517648641281,-0.273991120658045,-0.212619414964987,-0.474071632292902,-0.301719083768634,0.287843515164427,0.292380894764736,0.447727272727273,12
