,ID2003_d,NM.2003,VCA,HKD,HKD_Sisa,HKDPer_2,HKDII,HKDII_tdklnjt,HKDII_tdkcair,YearI,YearII,YearIII,YearIV,Combined Boundary
100,1501080035,PAUH TINGGI,0,0,250000000,0,0,0,0,0,0,0,0,0
101,1501080036,SUNGAI KUNING,0,0,250000000,0,0,0,0,0,0,0,0,0
102,1501080037,PASIR JAYA,0,0,250000000,0,0,0,0,0,0,0,0,0
103,1501090001,BATU HAMPAR,0,0,250000000,0,0,0,0,0,0,0,0,0
104,1501090003,SUNGAI DALAM,0,0,250000000,0,0,0,0,0,0,0,0,0
105,1501090004,KOTO TUO,0,0,250000000,0,0,0,0,0,0,0,0,0
106,1501090008,SAKO DUA,0,0,250000000,0,0,0,0,0,0,0,0,0
107,1501090012,SUNGAI LINTANG,0,0,250000000,0,0,0,0,0,0,0,0,0
108,1501090017,SUNGAI SAMPUN,0,0,250000000,0,0,0,0,0,0,0,0,0
109,1501090018,KOTO TENGAH,0,0,250000000,0,0,0,0,0,0,0,0,0
110,1501090019,SUNGAI BENDUNG AIR,0,0,250000000,0,0,0,0,0,0,0,0,0
111,1501090020,SUNGAI RUMPUN,0,0,250000000,0,0,0,0,0,0,0,0,0
112,1501090021,SUNGAI SIKAI,1,249999025,975,0.9999961,1,0,0,0,0,0,1,0
113,1501090022,BENGKOLAN DUA,0,0,250000000,0,0,0,0,0,0,0,0,0
114,1501090023,SANGIR,0,0,250000000,0,0,0,0,0,0,0,0,0
115,1501090024,BATANG SANGIR,0,0,250000000,0,0,0,0,0,0,0,0,0
116,1501090025,KERSIK TUO,0,0,250000000,0,0,0,0,0,0,0,0,0
117,1501090026,GIRI MULYO,0,0,250000000,0,0,0,0,0,0,0,0,0
118,1501090028,GUNUNG LABU,0,0,250000000,0,0,0,0,0,0,0,0,0
119,1501090029,KEBUN BARU,1,249997274,2726,0.999989096,1,0,0,0,0,1,0,0
120,1501090030,TANGKIL,0,0,250000000,0,0,0,0,0,0,0,0,0
121,1501090031,JERNIH JAYA,0,0,250000000,0,0,0,0,0,0,0,0,0
122,1501090032,LUBUK PAUH,0,0,250000000,0,0,0,0,0,0,0,0,0
123,1501090033,PELOMPEK,1,114253800,135746200,0.4570152,0,1,0,1,0,0,0,0
124,1501090034,TELUN BERASAP,0,0,250000000,0,0,0,0,0,0,0,0,0
125,1501090038,BUMBUN DURI,0,0,250000000,0,0,0,0,0,0,0,0,0
126,1501090039,PESISIR BUKIT,0,0,250000000,0,0,0,0,0,0,0,0,0
127,1501091888,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
128,1502010001,SUNGAI LISAI,0,0,250000000,0,0,0,0,0,0,0,0,0
129,1502010002,PEMATANG PAUH,0,0,250000000,0,0,0,0,0,0,0,0,0
130,1502010010,TALANG TEMBAGO,0,0,250000000,0,0,0,0,0,0,0,0,0
131,1502010012,TANJUNG MUDO,0,0,250000000,0,0,0,0,0,0,0,0,0
