"","ID2003_d","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2001","dstrds.2002","dstrds.2003","dstrds.2004","dstrds.2005","dstrds.2006","dstrds.2007","dstrds.2008","dstrds.2009","dstrds.2010","dstrds.2011","dstrds.2012","dstrds.2013","dstrds.2014","dstrds.2015","dstrds.2016","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_z","ps03.1","distance","weights"
"X31",1310040004,56127136,1112.749,0.8965412,4522.34,3877.89959848091,0.7192887,0.5256322,4482.06247490506,4441.78494981011,4401.50742471517,4361.22989962023,4320.95237452528,4280.67484943034,4240.3973243354,4200.11979924045,4159.84227414551,4119.56474905057,4079.28722395562,4039.00969886068,3998.73217376574,3958.45464867079,3918.17712357585,3877.89959848091,31.8881665706635,1562.49,0,0,0,0,-0.299529701921219,0.362010460826811,0.821793287207928,-0.248832919908019,0.767840889431937,0.306418290001456,0.406403755199204,-0.49628041045481,-0.212619414964987,-0.674799847725277,0.36905416772098,0.322020996613094,1
"X34",1311010001,314173877,413.4061,0.3623616,5289.083,3377.71329138324,0.1135569,0.005881089,5169.62239321145,5050.1617864229,4930.70117963436,4811.24057284581,4691.77996605726,4572.31935926871,4452.85875248017,4333.39814569162,4213.93753890307,4094.47693211452,3975.01632532598,3855.55571853743,3736.09511174888,3616.63450496033,3497.17389817179,3377.71329138324,47.773154024427,858.69,2184.39,1,0,481.100348610294,1.56824895884929,-1.11714473727783,-1.66929277952273,-0.036615325672304,-1.30084925260515,-1.36525047763982,-0.149206761194219,1.04080886380652,2.03910086903321,-0.375219565664372,0.142102249000011,0.145385832111128,1
"X35",1501010001,54966084,984.8491,0.9070144,2585.067,6545.16472716687,0.8840587,0.9081115,2832.57310794793,3080.07921589586,3327.58532384379,3575.09143179172,3822.59753973965,4070.10364768758,4317.60975563551,4565.11586358344,4812.62197153136,5060.12807947929,5307.63418742722,5555.14029537515,5802.64640332308,6050.15251127101,6297.65861921894,6545.16472716687,54.4554551442464,423.36,131.76,0,0,0,-0.307933559847272,0.0914939489382027,0.870633869278234,-0.785027466761145,1.33056200577988,1.53658150956464,-0.492875312063142,-0.403564877616501,-0.212619414964987,-0.249195817762884,0.36932435801811,0.342546369227228,1
"X39",1501010005,60826821,1412.175,0.8026425,5926.967,5014.5005596948,0.6677665,0.6974463,5869.93784748092,5812.90869496185,5755.87954244277,5698.8503899237,5641.82123740462,5584.79208488555,5527.76293236647,5470.7337798474,5413.70462732832,5356.67547480925,5299.64632229017,5242.6171697711,5185.58801725202,5128.55886473295,5071.52971221387,5014.5005596948,51.8611713892977,1008,465.12,0,0,0,-0.265512719876314,0.995315702572571,0.383907334142475,0.139936932230872,0.59188270589912,0.85902175487485,-0.0313349137905502,-0.16898951311302,-0.212619414964987,-0.298122281275414,0.235769253766191,0.242165168137351,1
"X42",1501010011,49308062,1042.286,0.9006952,1880.29,6774.67452001349,0.7541103,0.8215361,2186.18903250084,2492.08806500169,2797.98709750253,3103.88613000337,3409.78516250421,3715.68419500506,4021.5832275059,4327.48226000674,4633.38129250759,4939.28032500843,5245.17935750927,5551.07839001012,5856.97742251096,6162.8764550118,6468.77548751265,6774.67452001349,54.4782605535334,416.07,365.49,0,0,0,-0.34888712009305,0.212976685372671,0.841164995751644,-0.980094235434174,0.886763324493062,1.25813017167793,-0.498630357053918,-0.239096135279692,-0.212619414964987,-0.248765722934884,0.337971620111131,0.330129235090255,1
"X43",1501010015,48973912,1224.567,0.8729371,4022.106,6332.06027167713,0.7387253,0.7801852,4166.47814197982,4310.85028395964,4455.22242593946,4599.59456791928,4743.9667098991,4888.33885187892,5032.71099385874,5177.08313583856,5321.45527781838,5465.82741979821,5610.19956177803,5754.57170375785,5898.94384573767,6043.31598771749,6187.68812969731,6332.06027167713,54.6089368138995,690.3,304.29,1,0,0,-0.351305744862647,0.598512720221545,0.711718240111937,-0.387286686078572,0.834220602061715,1.12513380749343,-0.282141195487325,-0.282160727035191,-0.212619414964987,-0.246301255710526,0.29174417960802,0.288671513231809,1
"X45",1501020001,92778154,619.518,0.8531321,5856.772,2494.74133516657,0.4460753,0.3652441,5646.64508344791,5436.51816689582,5226.39125034373,5016.26433379164,4806.13741723955,4596.01050068746,4385.88358413537,4175.75666758328,3965.62975103119,3755.5028344791,3545.37591792701,3335.24900137492,3125.12208482284,2914.99516827075,2704.86825171866,2494.74133516657,54.7307143095498,4485.51,654.39,1,0,0,-0.0342444708400961,-0.681204816709217,0.619359865603437,0.120508500504236,-0.165235213312605,-0.209435879036243,2.71396364668585,-0.0358059300809417,-0.212619414964987,-0.244004613261057,0.527914253377006,0.541642775967105,1
"X47",1501020003,27446251,1012.792,0.8650606,6086.673,3368.49669084352,0.3207473,0.213766,5916.78698067772,5746.90096135544,5577.01494203316,5407.12892271088,5237.2429033886,5067.35688406632,4897.47086474404,4727.58484542176,4557.69882609948,4387.8128067772,4217.92678745492,4048.04076813264,3878.15474881036,3708.26872948808,3538.3827101658,3368.49669084352,55.1666055202484,992.97,2.43,0,0,0,-0.50712598764611,0.150594979041058,0.674987074405489,0.184140039536722,-0.593254343431288,-0.696632930456577,-0.0432002534628906,-0.494570492840989,-0.212619414964987,-0.235783995383388,0.173894826943374,0.179684874300464,1
"X48",1501020004,197546605,1032.116,0.9313594,4525.815,12317.6226050543,0.9428952,0.9334415,5012.80297531589,5499.79095063178,5986.77892594767,6473.76690126356,6960.75487657945,7447.74285189534,7934.73082721124,8421.71880252713,8908.70677784302,9395.69475315891,9882.6827284748,10369.6707037907,10856.6586791066,11343.6466544225,11830.6346297384,12317.6226050543,54.4423730435579,937.35,27.63,0,0,0,0.724084335567037,0.191466481487389,0.984164019614484,-0.247871116357195,1.53149992507348,1.61805006054644,-0.0871091152443656,-0.476838013882842,-0.212619414964987,-0.249442537467613,0.393637435976341,0.361201928132586,1
"X50",1501020010,39660642,1098.958,0.8381959,871.0142,4471.30819891092,0.543718,0.4904941,1096.03257493193,1321.05094986386,1546.0693247958,1771.08769972773,1996.10607465966,2221.12444959159,2446.14282452353,2671.16119945546,2896.17957438739,3121.19794931932,3346.21632425126,3571.23469918319,3796.25307411512,4021.27144904705,4246.28982397899,4471.30819891092,55.1690720267918,1195.29,42.84,0,0,0,-0.418716505024094,0.332841609127508,0.549706588484838,-1.25943957304577,0.168233313404805,0.193404074002491,0.116520007515679,-0.466135196225961,-0.212619414964987,-0.235737478712971,0.330835594503592,0.322871281294626,1
