"","ID2003_d","X","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","mdvp.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2003","pop.2003_pds","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","year","dstrds","HKD","KSNP_AreaForLoss_Ha2","nonKSNP_AreaForLoss_Ha","All_AreaForLoss_Ha","KSNP_AreaForLoss_Ha2_trunc","All_AreaForLoss_Ha_trunc","nonKSNP_AreaForLoss_Ha_trunc","pop.2003_pds_imp","mdvp.2003_imp","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_pds_z","All_AreaForLoss_Ha_trunc_z","ps03.1","distance","weights"
"X34",1311010001,34,314173877,413.4061,0.3623616,5289.083,3377.71329138324,0.4444444,0.1135569,0.005881089,4930.70117963436,3729,47.773154024427,858.69,2184.39,1,0,481.100348610294,2003,4930.70117963436,2.5e+08,2.7,246.33,249.03,28.89,616.68,587.79,3729,0.4444444,1.56824895884929,-1.11714473727783,-1.66929277952273,-0.036615325672304,-1.30084925260515,-1.36525047763982,-0.149206761194219,1.04080886380652,2.03910086903321,0.113082385793186,1.33344102479359,0.255324670186104,0.265755847653347,1
"X35",1501010001,35,54966084,984.8491,0.9070144,2585.067,6545.16472716687,0.3333333,0.8840587,0.9081115,3327.58532384379,785,54.4554551442464,423.36,131.76,0,0,0,2003,3327.58532384379,0,0,0.81,0.81,0,8.19,8.19,785,0.3333333,-0.307933559847272,0.0914939489382027,0.870633869278234,-0.785027466761145,1.33056200577988,1.53658150956464,-0.492875312063142,-0.403564877616501,-0.212619414964987,-0.428962590451858,-0.303656190368441,0.425068231191313,0.392379112571003,0.781818181818182
"X42",1501010011,42,49308062,1042.286,0.9006952,1880.29,6774.67452001349,0.1111111,0.7541103,0.8215361,2797.98709750253,512,54.4782605535334,416.07,365.49,0,0,0,2003,2797.98709750253,0,0,1.26,1.26,0,3.33,3.33,512,0.1111111,-0.34888712009305,0.212976685372671,0.841164995751644,-0.980094235434174,0.886763324493062,1.25813017167793,-0.498630357053918,-0.239096135279692,-0.212619414964987,-0.47922695136045,-0.31673165991714,0.381768304703205,0.372420254188493,0.781818181818182
"X43",1501010015,43,48973912,1224.567,0.8729371,4022.106,6332.06027167713,0.3333333,0.7387253,0.7801852,4455.22242593946,1369,54.6089368138995,690.3,304.29,1,0,0,2003,4455.22242593946,124999522,0.09,0.81,0.9,0.36,7.2,6.84,1369,0.3333333,-0.351305744862647,0.598512720221545,0.711718240111937,-0.387286686078572,0.834220602061715,1.12513380749343,-0.282141195487325,-0.282160727035191,-0.212619414964987,-0.321437364185857,-0.306319711943176,0.316930903929066,0.312703836458135,1
"X45",1501020001,45,92778154,619.518,0.8531321,5856.772,2494.74133516657,0.3888889,0.4460753,0.3652441,5226.39125034373,4791,54.7307143095498,4485.51,654.39,1,0,0,2003,5226.39125034373,168276561,5.22,5.76,10.98,27.72,80.73,53.01,4791,0.3888889,-0.0342444708400961,-0.681204816709217,0.619359865603437,0.120508500504236,-0.165235213312605,-0.209435879036243,2.71396364668585,-0.0358059300809417,-0.212619414964987,0.308616273283756,-0.108492700437869,0.693295240773935,0.702182250830826,1
"X48",1501020004,48,197546605,1032.116,0.9313594,4525.815,12317.6226050543,0.1666667,0.9428952,0.9334415,5986.77892594767,2050,54.4423730435579,937.35,27.63,0,0,0,2003,5986.77892594767,0,0.09,1.98,2.07,2.43,5.85,3.42,2050,0.1666667,0.724084335567037,0.191466481487389,0.984164019614484,-0.247871116357195,1.53149992507348,1.61805006054644,-0.0871091152443656,-0.476838013882842,-0.212619414964987,-0.196052639721565,-0.309951786817814,0.474865715490746,0.431959740964231,0.781818181818182
"X51",1501030006,51,37272821,1047.606,0.8239826,6638.991,6760.5118631478,0.05555556,0.7241879,0.8085497,6661.77616184021,1689,54.755166458502,274.5,314.37,1,1,0,2003,6661.77616184021,249995736,0,1.08,1.08,0,3.69,3.69,1689,0.05555556,-0.435999889779338,0.224228827424755,0.483424473645067,0.337009511071619,0.78457259601209,1.21636218152909,-0.610391909776022,-0.275067735451932,-0.212619414964987,-0.262519431985309,-0.315763106617236,0.228918231232927,0.232581578173634,1
"X57",1501030013,57,67436809,915.3237,0.8131173,10900.99,11277.9285681359,0.05555556,0.8018926,0.7674176,10971.6659815255,1740,55.3366631368001,973.62,168.57,0,0,0,2003,10971.6659815255,0,0,0,0,0.18,0.36,0.18,1740,0.05555556,-0.217668695625107,-0.0555567422324727,0.432755377631576,1.5166370713037,1.04994903304239,1.08406954095117,-0.0584759901668018,-0.377662792281209,-0.212619414964987,-0.253129386540846,-0.324722224641344,0.260833832607354,0.244521679791331,0.781818181818182
"X58",1501040002,58,51316582,1252.767,0.9322156,2727.76,9267.35927615506,0.1666667,0.8302496,0.8439643,3953.93486427907,757,54.9583712593454,736.29,131.04,1,1,0,2003,3953.93486427907,249994905,0,0,0,0,1.44,1.44,757,0.1666667,-0.334349169405539,0.658157533354774,0.988156811346581,-0.745533183573327,1.14679362062677,1.33026570089744,-0.245834677088727,-0.404071519872448,-0.212619414964987,-0.434117909519405,-0.321816564741633,0.408056334723099,0.385233302305358,1
"X59",1501040004,59,44799511,1311.5,0.8930121,4491.942,8505.06210192683,0.2222222,0.800872,0.7693683,5244.40201911128,990,54.5988981833825,716.85,115.65,0,0,0,2003,5244.40201911128,0,0.72,0.0900000000000001,0.81,1.17,2.43,1.26,990,0.2222222,-0.381520647322117,0.782381604622646,0.805335729041911,-0.257246417559223,1.04646348851763,1.09034355210001,-0.261181463730796,-0.414900998093316,-0.212619414964987,-0.391218290135881,-0.319153043166898,0.319587895744508,0.298881914773038,0.781818181818182
"X63",1501050026,63,14071193,1163.643,0.9058402,6517.813,1843.34370478682,0.1666667,0.4808418,0.6287341,5641.35000714753,20,55.1713650004069,391.5,334.89,0,0,0,2003,5641.35000714753,0,4.14,0.720000000000001,4.86,5.94,7.38,1.44,20,0.1666667,-0.603936541509946,0.469654543082222,0.865158120560845,0.3034701065589,-0.0465009553074408,0.638023595823447,-0.518026990170978,-0.260628431157442,-0.212619414964987,-0.569813272118793,-0.305835435293224,0.161595994342885,0.190340148030445,0.781818181818182
